19:39:21.295362 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49798: Flags [S.], seq 227026258, ack 1698693540, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 3298568 ecr 20880717], length 0
19:39:21.733983 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49799: Flags [S.], seq 2124620037, ack 2479486293, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 254400023 ecr 20880827], length 0
19:39:22.186603 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49800: Flags [S.], seq 125962879, ack 2523394995, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 255994652 ecr 20880940], length 0
19:39:22.630967 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49801: Flags [S.], seq 1590944532, ack 241451448, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 253668986 ecr 20881051], length 0
19:39:23.235227 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49802: Flags [S.], seq 61466337, ack 2243659612, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 256017629 ecr 20881202], length 0
19:39:23.693469 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49803: Flags [S.], seq 3716398525, ack 2465408536, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 250079667 ecr 20881317], length 0
19:39:24.167158 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49804: Flags [S.], seq 3804168433, ack 126099112, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 239263686 ecr 20881435], length 0
19:39:24.648696 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49805: Flags [S.], seq 1025873573, ack 3666910427, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 9949473 ecr 20881555], length 0
19:39:25.105036 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49806: Flags [S.], seq 981782119, ack 1965891301, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 252136569 ecr 20881670], length 0
19:39:25.575411 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49807: Flags [S.], seq 1653999282, ack 3103516928, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 252125863 ecr 20881787], length 0
19:39:26.021219 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49808: Flags [S.], seq 546264299, ack 2900324113, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 251481618 ecr 20881899], length 0
19:39:26.485969 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49809: Flags [S.], seq 753223408, ack 1112821199, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 239275603 ecr 20882015], length 0
19:39:26.955987 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49810: Flags [S.], seq 3802753900, ack 1052724053, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 11454199 ecr 20882132], length 0
19:39:27.435000 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49811: Flags [S.], seq 4108535010, ack 1759388239, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 256025352 ecr 20882252], length 0
19:39:27.863607 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49812: Flags [S.], seq 1892436307, ack 1889095190, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 249380487 ecr 20882359], length 0
19:39:28.319415 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49813: Flags [S.], seq 2123196234, ack 1891148162, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 255279173 ecr 20882473], length 0
19:39:28.757254 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49814: Flags [S.], seq 3643878215, ack 2477072081, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 254403410 ecr 20882583], length 0
19:39:29.236997 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49815: Flags [S.], seq 2583765776, ack 1683577112, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 250787851 ecr 20882703], length 0
19:39:29.858551 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49816: Flags [S.], seq 561222638, ack 972197029, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 249355494 ecr 20882858], length 0
19:39:30.290732 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49817: Flags [S.], seq 3937280388, ack 2190230082, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 251487608 ecr 20882966], length 0
19:39:30.714619 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49818: Flags [S.], seq 3147440343, ack 3126192267, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 252135710 ecr 20883072], length 0
19:39:31.227989 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49819: Flags [S.], seq 676544419, ack 1380185214, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 256002629 ecr 20883200], length 0
19:39:31.823610 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49820: Flags [S.], seq 3727269820, ack 568673372, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 252134450 ecr 20883349], length 0
19:39:32.245486 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49821: Flags [S.], seq 3502869723, ack 2295540733, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 2304339 ecr 20883455], length 0
19:39:32.311172 IP blob.dm3prdstp05c.store.core.windows.net.https > 10.0.0.5.47026: Flags [S.], seq 3984122699, ack 1689953704, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 248501808 ecr 20883480], length 0
19:39:32.323967 IP blob.dm3prdstp05c.store.core.windows.net.https > 10.0.0.5.47027: Flags [S.], seq 2068733460, ack 1507198614, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 247032665 ecr 20883484], length 0
