PING 13.65.92.139 (13.65.92.139) 56(84) bytes of data.
64 bytes from 13.65.92.139: icmp_seq=138 ttl=57 time=0.631 ms
64 bytes from 13.65.92.139: icmp_seq=139 ttl=57 time=0.370 ms
64 bytes from 13.65.92.139: icmp_seq=140 ttl=57 time=0.442 ms
64 bytes from 13.65.92.139: icmp_seq=141 ttl=57 time=0.658 ms
64 bytes from 13.65.92.139: icmp_seq=142 ttl=57 time=0.387 ms
64 bytes from 13.65.92.139: icmp_seq=143 ttl=57 time=0.599 ms
64 bytes from 13.65.92.139: icmp_seq=144 ttl=57 time=0.417 ms
64 bytes from 13.65.92.139: icmp_seq=145 ttl=57 time=0.359 ms
64 bytes from 13.65.92.139: icmp_seq=146 ttl=57 time=0.371 ms
64 bytes from 13.65.92.139: icmp_seq=147 ttl=57 time=0.356 ms
64 bytes from 13.65.92.139: icmp_seq=148 ttl=57 time=0.365 ms
64 bytes from 13.65.92.139: icmp_seq=149 ttl=57 time=0.383 ms
64 bytes from 13.65.92.139: icmp_seq=150 ttl=57 time=0.366 ms
64 bytes from 13.65.92.139: icmp_seq=151 ttl=57 time=0.358 ms
64 bytes from 13.65.92.139: icmp_seq=152 ttl=57 time=0.383 ms
64 bytes from 13.65.92.139: icmp_seq=153 ttl=57 time=0.367 ms
64 bytes from 13.65.92.139: icmp_seq=154 ttl=57 time=0.356 ms
64 bytes from 13.65.92.139: icmp_seq=155 ttl=57 time=0.367 ms
64 bytes from 13.65.92.139: icmp_seq=156 ttl=57 time=0.364 ms
64 bytes from 13.65.92.139: icmp_seq=157 ttl=57 time=0.368 ms
64 bytes from 13.65.92.139: icmp_seq=158 ttl=57 time=0.397 ms
64 bytes from 13.65.92.139: icmp_seq=159 ttl=57 time=0.366 ms
64 bytes from 13.65.92.139: icmp_seq=160 ttl=57 time=0.384 ms
64 bytes from 13.65.92.139: icmp_seq=161 ttl=57 time=0.464 ms
64 bytes from 13.65.92.139: icmp_seq=162 ttl=57 time=0.358 ms
64 bytes from 13.65.92.139: icmp_seq=163 ttl=57 time=0.364 ms
64 bytes from 13.65.92.139: icmp_seq=164 ttl=57 time=0.365 ms
64 bytes from 13.65.92.139: icmp_seq=165 ttl=57 time=0.368 ms
64 bytes from 13.65.92.139: icmp_seq=166 ttl=57 time=0.352 ms
64 bytes from 13.65.92.139: icmp_seq=167 ttl=57 time=0.397 ms
64 bytes from 13.65.92.139: icmp_seq=168 ttl=57 time=0.364 ms
64 bytes from 13.65.92.139: icmp_seq=169 ttl=57 time=0.366 ms
64 bytes from 13.65.92.139: icmp_seq=170 ttl=57 time=0.361 ms
64 bytes from 13.65.92.139: icmp_seq=171 ttl=57 time=0.351 ms
64 bytes from 13.65.92.139: icmp_seq=172 ttl=57 time=0.362 ms
64 bytes from 13.65.92.139: icmp_seq=173 ttl=57 time=0.377 ms
64 bytes from 13.65.92.139: icmp_seq=174 ttl=57 time=0.373 ms
64 bytes from 13.65.92.139: icmp_seq=175 ttl=57 time=0.393 ms
64 bytes from 13.65.92.139: icmp_seq=176 ttl=57 time=0.370 ms
64 bytes from 13.65.92.139: icmp_seq=177 ttl=57 time=0.378 ms
64 bytes from 13.65.92.139: icmp_seq=178 ttl=57 time=0.443 ms
64 bytes from 13.65.92.139: icmp_seq=179 ttl=57 time=0.465 ms
64 bytes from 13.65.92.139: icmp_seq=180 ttl=57 time=0.506 ms
64 bytes from 13.65.92.139: icmp_seq=181 ttl=57 time=0.406 ms
64 bytes from 13.65.92.139: icmp_seq=182 ttl=57 time=0.625 ms
64 bytes from 13.65.92.139: icmp_seq=183 ttl=57 time=0.663 ms
64 bytes from 13.65.92.139: icmp_seq=184 ttl=57 time=0.357 ms
64 bytes from 13.65.92.139: icmp_seq=185 ttl=57 time=0.546 ms
64 bytes from 13.65.92.139: icmp_seq=186 ttl=57 time=0.360 ms
64 bytes from 13.65.92.139: icmp_seq=187 ttl=57 time=0.355 ms
64 bytes from 13.65.92.139: icmp_seq=188 ttl=57 time=0.425 ms
64 bytes from 13.65.92.139: icmp_seq=189 ttl=57 time=0.662 ms
64 bytes from 13.65.92.139: icmp_seq=190 ttl=57 time=0.403 ms
64 bytes from 13.65.92.139: icmp_seq=191 ttl=57 time=0.378 ms
64 bytes from 13.65.92.139: icmp_seq=192 ttl=57 time=0.689 ms
64 bytes from 13.65.92.139: icmp_seq=193 ttl=57 time=0.604 ms
64 bytes from 13.65.92.139: icmp_seq=194 ttl=57 time=0.454 ms
64 bytes from 13.65.92.139: icmp_seq=195 ttl=57 time=0.468 ms
64 bytes from 13.65.92.139: icmp_seq=196 ttl=57 time=0.379 ms
64 bytes from 13.65.92.139: icmp_seq=197 ttl=57 time=0.485 ms
64 bytes from 13.65.92.139: icmp_seq=198 ttl=57 time=0.469 ms
64 bytes from 13.65.92.139: icmp_seq=199 ttl=57 time=0.389 ms
64 bytes from 13.65.92.139: icmp_seq=200 ttl=57 time=0.378 ms
64 bytes from 13.65.92.139: icmp_seq=201 ttl=57 time=0.393 ms
64 bytes from 13.65.92.139: icmp_seq=202 ttl=57 time=0.360 ms
64 bytes from 13.65.92.139: icmp_seq=203 ttl=57 time=0.587 ms
64 bytes from 13.65.92.139: icmp_seq=204 ttl=57 time=0.384 ms
64 bytes from 13.65.92.139: icmp_seq=205 ttl=57 time=0.419 ms
64 bytes from 13.65.92.139: icmp_seq=206 ttl=57 time=0.419 ms
64 bytes from 13.65.92.139: icmp_seq=207 ttl=57 time=0.369 ms
64 bytes from 13.65.92.139: icmp_seq=208 ttl=57 time=0.370 ms
64 bytes from 13.65.92.139: icmp_seq=209 ttl=57 time=0.363 ms
64 bytes from 13.65.92.139: icmp_seq=210 ttl=57 time=0.381 ms
64 bytes from 13.65.92.139: icmp_seq=211 ttl=57 time=0.374 ms
64 bytes from 13.65.92.139: icmp_seq=212 ttl=57 time=0.367 ms
64 bytes from 13.65.92.139: icmp_seq=213 ttl=57 time=0.370 ms
64 bytes from 13.65.92.139: icmp_seq=214 ttl=57 time=0.359 ms
64 bytes from 13.65.92.139: icmp_seq=215 ttl=57 time=0.400 ms
64 bytes from 13.65.92.139: icmp_seq=216 ttl=57 time=0.415 ms
64 bytes from 13.65.92.139: icmp_seq=217 ttl=57 time=0.378 ms
