PING 13.66.225.134 (13.66.225.134) 56(84) bytes of data.
64 bytes from 13.66.225.134: icmp_seq=112 ttl=59 time=1.11 ms
64 bytes from 13.66.225.134: icmp_seq=113 ttl=59 time=0.817 ms
64 bytes from 13.66.225.134: icmp_seq=114 ttl=59 time=0.835 ms
64 bytes from 13.66.225.134: icmp_seq=115 ttl=59 time=1.03 ms
64 bytes from 13.66.225.134: icmp_seq=116 ttl=59 time=0.940 ms
64 bytes from 13.66.225.134: icmp_seq=117 ttl=59 time=1.03 ms
64 bytes from 13.66.225.134: icmp_seq=118 ttl=59 time=1.24 ms
64 bytes from 13.66.225.134: icmp_seq=119 ttl=59 time=0.879 ms
64 bytes from 13.66.225.134: icmp_seq=120 ttl=59 time=0.617 ms
64 bytes from 13.66.225.134: icmp_seq=121 ttl=59 time=0.737 ms
64 bytes from 13.66.225.134: icmp_seq=122 ttl=59 time=1.05 ms
64 bytes from 13.66.225.134: icmp_seq=123 ttl=59 time=1.44 ms
64 bytes from 13.66.225.134: icmp_seq=124 ttl=59 time=0.787 ms
64 bytes from 13.66.225.134: icmp_seq=125 ttl=59 time=1.08 ms
64 bytes from 13.66.225.134: icmp_seq=126 ttl=59 time=0.592 ms
64 bytes from 13.66.225.134: icmp_seq=127 ttl=59 time=0.603 ms
64 bytes from 13.66.225.134: icmp_seq=128 ttl=59 time=0.758 ms
64 bytes from 13.66.225.134: icmp_seq=129 ttl=59 time=1.57 ms
64 bytes from 13.66.225.134: icmp_seq=130 ttl=59 time=0.603 ms
64 bytes from 13.66.225.134: icmp_seq=131 ttl=59 time=0.803 ms
64 bytes from 13.66.225.134: icmp_seq=132 ttl=59 time=0.942 ms
64 bytes from 13.66.225.134: icmp_seq=133 ttl=59 time=0.746 ms
64 bytes from 13.66.225.134: icmp_seq=134 ttl=59 time=1.03 ms
64 bytes from 13.66.225.134: icmp_seq=135 ttl=59 time=0.807 ms
64 bytes from 13.66.225.134: icmp_seq=136 ttl=59 time=0.783 ms
64 bytes from 13.66.225.134: icmp_seq=137 ttl=59 time=0.442 ms
64 bytes from 13.66.225.134: icmp_seq=138 ttl=59 time=0.677 ms
64 bytes from 13.66.225.134: icmp_seq=139 ttl=59 time=0.920 ms
64 bytes from 13.66.225.134: icmp_seq=140 ttl=59 time=1.05 ms
64 bytes from 13.66.225.134: icmp_seq=141 ttl=59 time=0.798 ms
64 bytes from 13.66.225.134: icmp_seq=142 ttl=59 time=0.939 ms
64 bytes from 13.66.225.134: icmp_seq=143 ttl=59 time=0.923 ms
64 bytes from 13.66.225.134: icmp_seq=144 ttl=59 time=0.966 ms
64 bytes from 13.66.225.134: icmp_seq=145 ttl=59 time=0.719 ms
64 bytes from 13.66.225.134: icmp_seq=146 ttl=59 time=0.537 ms
64 bytes from 13.66.225.134: icmp_seq=147 ttl=59 time=1.37 ms
64 bytes from 13.66.225.134: icmp_seq=148 ttl=59 time=0.999 ms
64 bytes from 13.66.225.134: icmp_seq=149 ttl=59 time=0.795 ms
64 bytes from 13.66.225.134: icmp_seq=150 ttl=59 time=1.11 ms
64 bytes from 13.66.225.134: icmp_seq=151 ttl=59 time=0.892 ms
64 bytes from 13.66.225.134: icmp_seq=152 ttl=59 time=0.870 ms
64 bytes from 13.66.225.134: icmp_seq=153 ttl=59 time=1.41 ms
64 bytes from 13.66.225.134: icmp_seq=154 ttl=59 time=0.687 ms
64 bytes from 13.66.225.134: icmp_seq=155 ttl=59 time=1.29 ms
64 bytes from 13.66.225.134: icmp_seq=156 ttl=59 time=0.967 ms
64 bytes from 13.66.225.134: icmp_seq=157 ttl=59 time=0.807 ms
64 bytes from 13.66.225.134: icmp_seq=158 ttl=59 time=0.939 ms
64 bytes from 13.66.225.134: icmp_seq=159 ttl=59 time=0.911 ms
64 bytes from 13.66.225.134: icmp_seq=160 ttl=59 time=0.824 ms
64 bytes from 13.66.225.134: icmp_seq=161 ttl=59 time=0.753 ms
64 bytes from 13.66.225.134: icmp_seq=162 ttl=59 time=0.867 ms
64 bytes from 13.66.225.134: icmp_seq=163 ttl=59 time=1.54 ms
64 bytes from 13.66.225.134: icmp_seq=164 ttl=59 time=0.677 ms
64 bytes from 13.66.225.134: icmp_seq=165 ttl=59 time=1.67 ms
64 bytes from 13.66.225.134: icmp_seq=166 ttl=59 time=0.829 ms
64 bytes from 13.66.225.134: icmp_seq=167 ttl=59 time=1.08 ms
64 bytes from 13.66.225.134: icmp_seq=168 ttl=59 time=1.29 ms
